Browser,Count
CHROME,3810930
SAFARI,171780
FIREFOX,43840
APPLE_WEB_KIT,34600
EDGE,26090
OPERA,17680
IE,10710
BOT,3630
MOZILLA,1290
DOWNLOAD,300
